subzone_code,subzone_name,planning_area,latitude,longitude,Total_Total,volunteers_count,hdb_ratio,elderly_ratio,low_income_ratio,AED_count,risk_score,risk_score_normalized,normalized_risk_score,population_density_proxy,normalized_density,area_weight,current_aeds,optimized_aeds,current_coverage_effect,optimized_coverage_effect,coverage_improvement
RCSZ08,SELEGIE,ROCHOR,1.302153153623915,103.84964812500937,210.0,0,0.0,0.199,0.13,0,0.007817756,6.677201e-07,6.677201e-07,210.0,0.001603298213467705,0.001603298213467705,0,2,0.0,2.141108886852955e-09,2.141108886852955e-09
RCSZ07,MOUNT EMILY,ROCHOR,1.3024107030238945,103.84754485629544,1630.0,0,0.0,0.199,0.13,1,10.002281,0.0015219492,0.0015219492,1630.0,0.012444648037868378,0.012444648037868378,1,2,1.8940122125515347e-05,3.788024425103069e-05,1.8940122125515347e-05
RCSZ04,ROCHOR CANAL,ROCHOR,1.3040353228099175,103.85752347122536,0.0,0,0.8,0.199,0.13,1,10.006585,0.0015226043,0.0015226043,0.0,0.0,0.0,1,2,0.0,0.0,0.0
QTSZ05,MARGARET DRIVE,QUEENSTOWN,1.2972244324492317,103.80818385969484,16090.0,0,1.0,0.199,0.13,6,60.00469,0.009132937,0.009132937,16090.0,0.12284318216521606,0.12284318216521606,6,10,0.006731514261566651,0.01121919043594442,0.004487676174377769
RVSZ04,OXLEY,RIVER VALLEY,1.2971091225645626,103.84053750680106,1490.0,0,0.0,0.199,0.13,4,39.99392,0.0060870494,0.0060870494,1490.0,0.01137578256222324,0.01137578256222324,4,1,0.00027697980167964574,6.924495041991144e-05,-0.0002077348512597343
DTSZ02,CITY HALL,DOWNTOWN CORE,1.2924357661517758,103.85316804530322,80.0,0,0.0,0.199,0.13,3,29.99866,0.0045656464,0.0045656464,80.0,0.0006107802717972209,0.0006107802717972209,3,2,8.36582024736601e-06,5.577213498244006e-06,-2.7886067491220038e-06
QTSZ06,MEI CHIN,QUEENSTOWN,1.29347230246104,103.8032270069761,15570.0,0,1.0,0.199,0.13,7,70.00477,0.0106550725,0.0106550725,15570.0,0.11887311039853413,0.11887311039853413,7,11,0.008866211267178195,0.013932617705565736,0.0050664064383875405
RVSZ03,LEONIE HILL,RIVER VALLEY,1.2979398059789415,103.83406382935466,3120.0,0,0.0,0.199,0.13,7,69.99511,0.010653603,0.010653603,3120.0,0.023820430600091615,0.023820430600091615,7,3,0.0017764138763169948,0.0007613202327072835,-0.0010150936436097114
QTSZ15,PORT,QUEENSTOWN,1.2766215676879145,103.77561185524053,120.0,0,1.0,0.199,0.13,49,490.021,0.074586764,0.074586764,120.0,0.0009161704076958314,0.0009161704076958314,49,1,0.0033483751131470453,6.833418598259276e-05,-0.0032800409271644525
MUSZ01,DHOBY GHAUT,MUSEUM,1.2988498971692009,103.84518027039492,320.0,0,0.0,0.199,0.13,3,29.99866,0.0045656464,0.0045656464,320.0,0.0024431210871888836,0.0024431210871888836,3,2,3.346328098946404e-05,2.2308853992976023e-05,-1.1154426996488015e-05
GLSZ02,MACPHERSON,GEYLANG,1.3273677721500636,103.8852042550787,28360.0,0,1.0,0.199,0.13,11,109.99431,0.016741978,0.016741978,28360.0,0.21652160635211481,0.21652160635211481,11,32,0.03987499967078943,0.11599999904229653,0.0761249993715071
TPSZ07,KIM KEAT,TOA PAYOH,1.331887616347214,103.8586363593519,7960.0,0,1.0,0.199,0.13,0,0.012449252,1.3726914e-06,1.3726914e-06,7960.0,0.060772637043823484,0.060772637043823484,0,2,0.0,1.6684415245075584e-07,1.6684415245075584e-07
BDSZ04,BEDOK NORTH,BEDOK,1.330427053357414,103.9360163651932,81840.0,0,0.7870723362658847,0.199,0.13,29,290.02173,0.04414439,0.04414439,81840.0,0.624828218048557,0.624828218048557,29,240,0.7998971556756755,6.619838529729729,5.8199413740540535
TPSZ02,TOA PAYOH CENTRAL,TOA PAYOH,1.332641043607604,103.84598592578412,28020.0,0,1.0,0.199,0.13,6,60.004505,0.009132909,0.009132909,28020.0,0.21392579019697663,0.21392579019697663,6,17,0.011722588647732478,0.033214001168575355,0.021491412520842877
JESZ06,JURONG GATEWAY,JURONG EAST,1.333107045234054,103.74268098562932,450.0,0,0.0,0.199,0.13,0,0.0034309917,0.0,0.0,450.0,0.003435639028859368,0.003435639028859368,0,2,0.0,0.0,0.0
